Market,State,Issuer_Name,Plan_ID,Plan_Type,Metal_Level,Claims_Received,Claims_Denied,Appeals_Overturned_Rate,Denial_Rate
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420048,HMO,Gold,721,78,47.0%,10.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420049,HMO,Gold,1672,336,47.0%,20.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420050,HMO,Gold,458,140,47.0%,30.6%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420051,HMO,Gold,861,110,47.0%,12.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420052,HMO,Gold,1150,239,47.0%,20.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420053,HMO,Gold,7959,1054,47.0%,13.2%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420078,HMO,Gold,6649,1310,47.0%,19.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420108,HMO,Gold,367,86,47.0%,23.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420111,HMO,Gold,1102,112,47.0%,10.2%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420112,HMO,Gold,1209,271,47.0%,22.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420113,HMO,Gold,157,28,47.0%,17.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420114,HMO,Gold,2003,358,47.0%,17.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420116,HMO,Gold,1249,196,47.0%,15.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420117,HMO,Gold,812,126,47.0%,15.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420118,HMO,Gold,2872,533,47.0%,18.6%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420119,HMO,Gold,4831,726,47.0%,15.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420120,HMO,Gold,287,61,47.0%,21.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420123,HMO,Gold,211,18,47.0%,8.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420126,HMO,Gold,123,20,47.0%,16.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420129,HMO,Gold,1811,184,47.0%,10.2%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420132,HMO,Gold,325,86,47.0%,26.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420135,HMO,Gold,623,78,47.0%,12.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420138,HMO,Gold,799,199,47.0%,24.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420144,HMO,Gold,469,42,47.0%,9.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420150,HMO,Gold,737,78,47.0%,10.6%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420153,HMO,Gold,3840,800,47.0%,20.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1490001,PPO,Gold,69754,9555,47.0%,13.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1490003,PPO,Gold,28196,4696,47.0%,16.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1490005,PPO,Gold,23481,3673,47.0%,15.6%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420008,HMO,Silver,6484,1460,47.0%,22.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420009,HMO,Silver,1009,165,47.0%,16.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420010,HMO,Silver,2437,364,47.0%,14.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420013,HMO,Silver,59491,7888,47.0%,13.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420014,HMO,Silver,17177,3729,47.0%,21.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420054,HMO,Silver,7484,922,47.0%,12.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420055,HMO,Silver,41148,6797,47.0%,16.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420056,HMO,Silver,4445,939,47.0%,21.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420057,HMO,Silver,17326,3472,47.0%,20.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420058,HMO,Silver,12505,2199,47.0%,17.6%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420059,HMO,Silver,42706,6407,47.0%,15.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420079,HMO,Silver,37158,7238,47.0%,19.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420082,HMO,Silver,22549,4299,47.0%,19.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420083,HMO,Silver,18766,2923,47.0%,15.6%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420097,HMO,Silver,2719,673,47.0%,24.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420098,HMO,Silver,1312,268,47.0%,20.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420099,HMO,Silver,2054,390,47.0%,19.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420100,HMO,Silver,48712,6671,47.0%,13.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420101,HMO,Silver,14723,3320,47.0%,22.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420102,HMO,Silver,4275,474,47.0%,11.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420103,HMO,Silver,30284,5144,47.0%,17.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420104,HMO,Silver,1573,330,47.0%,21.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420105,HMO,Silver,15679,2956,47.0%,18.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420106,HMO,Silver,7059,1434,47.0%,20.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420121,HMO,Silver,293,87,47.0%,29.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420124,HMO,Silver,236,30,47.0%,12.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420127,HMO,Silver,2719,483,47.0%,17.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420130,HMO,Silver,18065,2364,47.0%,13.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420133,HMO,Silver,6039,1279,47.0%,21.2%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420136,HMO,Silver,1656,342,47.0%,20.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420139,HMO,Silver,11334,1971,47.0%,17.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420142,HMO,Silver,83,23,47.0%,27.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420145,HMO,Silver,12976,2034,47.0%,15.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420148,HMO,Silver,1375,199,47.0%,14.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420151,HMO,Silver,3247,509,47.0%,15.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420154,HMO,Silver,8063,1531,47.0%,19.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1490002,PPO,Silver,183810,28452,47.0%,15.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1490004,PPO,Silver,79215,12418,47.0%,15.7%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110014,HMO,Bronze,7141,919,48.4%,12.9%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110016,HMO,Bronze Expanded,14702,2137,48.4%,14.5%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110032,HMO,Bronze Expanded,4915,648,48.4%,13.2%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110019,HMO,Gold,7159,1353,48.4%,18.9%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110035,HMO,Gold,1250,259,48.4%,20.7%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110013,HMO,Silver,23801,3214,48.4%,13.5%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110018,HMO,Silver,41669,5529,48.4%,13.3%
Individual,AZ,"Cigna HealthCare of Arizona, Inc",97667AZ0110034,HMO,Silver,15153,2503,48.4%,16.5%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080037,HMO,Bronze Expanded,122630,15195,62.1%,12.4%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080119,HMO,Bronze Expanded,69275,10636,62.1%,15.4%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080122,HMO,Bronze Expanded,34173,5104,62.1%,14.9%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0180037,HMO,Bronze Expanded,16601,2077,62.1%,12.5%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0180119,HMO,Bronze Expanded,23656,2994,62.1%,12.7%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080059,HMO,Gold,111558,15525,62.1%,13.9%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080113,HMO,Gold,91165,10967,62.1%,12.0%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080124,HMO,Gold,7276,890,62.1%,12.2%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0180059,HMO,Gold,40289,6219,62.1%,15.4%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0180113,HMO,Gold,52796,6804,62.1%,12.9%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080044,HMO,Silver,481978,58141,62.1%,12.1%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080097,HMO,Silver,266232,34670,62.1%,13.0%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0080123,HMO,Silver,30661,3990,62.1%,13.0%
Individual,AZ,"Health Net of Arizona, Inc.",91450AZ0180044,HMO,Silver,92919,12314,62.1%,13.3%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070005,HMO,Bronze Expanded,26256,3770,51.0%,14.4%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070024,HMO,Bronze Expanded,19584,4936,51.0%,25.2%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070050,HMO,Bronze Expanded,5845,1962,51.0%,33.6%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070011,HMO,Catastrophic,2302,284,51.0%,12.3%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070013,HMO,Gold,5860,976,51.0%,16.7%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070053,HMO,Gold,1472,317,51.0%,21.5%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070008,HMO,Silver,29635,4810,51.0%,16.2%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070025,HMO,Silver,22956,3397,51.0%,14.8%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070030,HMO,Silver,25806,4188,51.0%,16.2%
Individual,AZ,"Oscar Health Plan, Inc.",13877AZ0070052,HMO,Silver,9381,1344,51.0%,14.3%
Individual,AZ,"UnitedHealthcare of Arizona, Inc.",40702AZ0060019,HMO,Bronze Expanded,56001,11404,41.5%,20.4%
Individual,AZ,"UnitedHealthcare of Arizona, Inc.",40702AZ0060016,HMO,Gold,2246,486,41.5%,21.6%
Individual,AZ,"UnitedHealthcare of Arizona, Inc.",40702AZ0060018,HMO,Silver,14693,3380,41.5%,23.0%
Individual,DE,Aetna Health Inc. (a PA corp.),67190DE0100008,HMO,Gold,1130,225,0.0%,19.9%
Individual,DE,Aetna Health Inc. (a PA corp.),67190DE0100009,HMO,Silver,30020,6755,0.0%,22.5%
Individual,DE,"AmeriHealth Caritas VIP Next, Inc.",72760DE0010001,HMO,Bronze,743,389,0.0%,52.4%
Individual,DE,"AmeriHealth Caritas VIP Next, Inc.",72760DE0010002,HMO,Bronze Expanded,1209,598,0.0%,49.5%
Individual,DE,"AmeriHealth Caritas VIP Next, Inc.",72760DE0010004,HMO,Gold,983,491,0.0%,49.9%
Individual,DE,"AmeriHealth Caritas VIP Next, Inc.",72760DE0010003,HMO,Silver,491,231,0.0%,47.0%
Individual,DE,Highmark BCBSD Inc.,76168DE0690001,PPO,Bronze Expanded,87704,12613,29.6%,14.4%
Individual,DE,Highmark BCBSD Inc.,76168DE0700001,PPO,Bronze Expanded,25441,3697,29.6%,14.5%
Individual,DE,Highmark BCBSD Inc.,76168DE0710001,PPO,Bronze Expanded,43019,7096,29.6%,16.5%
Individual,DE,Highmark BCBSD Inc.,76168DE0690004,PPO,Gold,269025,36109,29.6%,13.4%
