Individual Marketplace Medical Qualified Health Plans (QHPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend 
*                              Data not available for this issuer/plan
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040011,Returning,HMO,QHP,Bronze Expanded,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,24510,141964,15100,30106,620,10109,1658,14972,351,12,**,18885,1222,120,8444,14894,5260,794
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040012,Returning,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,530,13448,343,3100,24,1127,265,513,34,**,**,2424,49,**,876,1098,172,24
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040014,Returning,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,9614,187172,6114,38051,412,12086,2191,8089,406,**,**,23880,873,106,8894,18582,3952,707
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040015,Returning,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,370852,915921,245288,218975,6991,62691,14376,205253,1980,74,28,125998,7469,1867,72909,133126,27148,4231
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040016,New,HMO,QHP,Bronze Expanded,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040017,New,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040019,New,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040022,New,HMO,QHP,Bronze Expanded,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040023,New,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040024,New,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040025,New,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040026,New,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040027,New,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,Banner Health and Aetna Health Plan Inc.,23435,No,No,23435AZ0040028,New,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,462111,1912839,302572,422220,9653,129003,278,128,46,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020005,Returning,EPO,QHP,Bronze Expanded,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,468,6350,343,738,25,251,**,310,**,25,**,**,**,**,727,**,223,30
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020006,Returning,EPO,QHP,Silver,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,1089,19061,761,3634,**,375,387,690,520,99,**,1348,**,**,1285,53,340,33
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020011,Returning,EPO,QHP,Catastrophic,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,498,3847,384,878,23,83,88,334,133,19,11,237,**,**,384,50,174,41
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020013,Returning,EPO,QHP,Gold,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,125,1629,75,364,**,19,42,69,61,**,**,130,**,**,127,**,22,**
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020024,Returning,EPO,QHP,Bronze Expanded,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,3033,20597,2275,4648,29,282,417,1935,708,294,11,1103,**,**,2402,45,729,187
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020025,Returning,EPO,QHP,Silver,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,2598,32155,1958,7245,147,666,800,1742,885,275,**,1846,**,18,3589,44,510,63
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020036,Returning,EPO,QHP,Gold,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,430,3950,268,923,12,218,97,252,135,29,**,224,**,**,436,17,63,**
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020050,Returning,EPO,QHP,Bronze Expanded,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,1844,10913,1458,2732,56,180,238,1151,393,91,**,644,**,**,1646,17,440,98
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020052,Returning,EPO,QHP,Silver,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,626,6990,502,1546,**,117,308,418,139,140,**,512,**,**,521,**,118,23
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020053,Returning,EPO,QHP,Gold,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,322,2290,256,541,**,31,94,231,54,59,**,110,**,**,242,**,40,**
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020055,New,EPO,QHP,Silver,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TN,Oscar Insurance Company,23552,No,No,23552TN0020056,New,EPO,QHP,Silver,https://hioscar.com/tn_tic_2025,11033,107782,8280,23249,312,2222,1776,911,51.3,12,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290001,Returning,PPO,QHP,Bronze Expanded,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,3244,84794,2515,2521,**,516,193,**,561,**,**,653,2174,167,1969,97,4735,424
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290002,Returning,PPO,QHP,Silver,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,577,10954,506,256,**,37,23,**,56,**,**,49,481,21,215,22,380,38
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290003,Returning,PPO,QHP,Gold,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,751,21924,640,772,**,63,60,**,198,**,**,190,579,39,567,11,569,72
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290008,Returning,PPO,QHP,Silver,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,985,18888,837,511,**,46,36,**,125,**,**,98,768,51,445,27,710,86
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290015,Returning,PPO,QHP,Bronze,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,560,10325,448,314,**,36,20,**,86,**,**,53,402,37,260,**,699,88
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290016,Returning,PPO,QHP,Bronze Expanded,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,160,7708,128,205,**,34,**,**,61,**,**,41,93,12,200,**,335,46
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290017,Returning,PPO,QHP,Silver,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,53,4950,42,130,**,13,**,**,27,**,**,22,39,**,113,**,184,15
Individual,SPE,MT,PacificSource Health Plans,23603,No,No,23603MT0290018,Returning,PPO,QHP,Gold,https://pacificsource.com/members/learn-about-my-plan,6791,164025,5257,4831,19,753,977,226,23.1,**,**,**,57,4476,47,121,**,**,**,**,17,**,**,33,34,**,84,**,129,16
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370002,Returning,HMO,QHP,Bronze Expanded,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,9183,336565,6995,54773,489,15152,3793,6071,1295,3507,96,7739,1042,589,15399,43710,9791,929
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370003,Returning,HMO,QHP,Silver,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,9621,320471,7732,57941,493,16610,4912,5794,1170,3719,297,9921,1680,580,17953,43504,6067,728
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370005,Returning,HMO,QHP,Bronze Expanded,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,5110,177284,3933,30740,308,7987,1955,3148,718,2315,42,4667,882,355,9085,23446,5429,634
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370006,Returning,HMO,QHP,Gold,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,22576,878919,17950,145287,1493,41141,12091,14748,3447,9537,614,24017,3606,1375,46084,104408,16388,1845
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370010,Returning,HMO,QHP,Silver,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,8251,73710,6548,13726,405,3267,1605,5654,239,828,61,3083,409,107,4646,8253,1571,176
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370011,Returning,HMO,QHP,Gold,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,7615,92601,6404,14823,418,3566,1635,5216,314,660,47,3389,530,92,5386,8279,2023,242
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370012,Returning,HMO,QHP,Bronze Expanded,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,4469,133841,3289,21874,191,5815,1761,2260,330,1132,29,3934,739,190,6755,15864,3704,411
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370013,Returning,HMO,QHP,Silver,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,4841,169241,4035,31923,223,8560,2509,3401,732,2161,85,5425,759,284,9090,24150,2814,278
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370014,Returning,HMO,QHP,Gold,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,9051,360204,7642,58242,560,17456,6258,5227,1177,3304,226,11362,1670,530,18762,41574,6745,704
Individual,SPE,IA,"Wellmark Health Plan of Iowa, Inc.",25896,No,No,25896IA0370015,New,HMO,QHP,Bronze Expanded,https://www.wellmark.com/transparency,174461,4366324,140207,753627,9777,206753,308,128,41.6,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0380001,Returning,EPO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,8357,506496,9263,101128,323,10429,7593,8783,8964,9433,1003,18920,8629,267,20055,40460,7689,809
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0380013,Returning,EPO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,56728,2816057,63262,611040,2447,54731,24395,59905,51927,39217,4571,87570,75470,1149,106911,276435,73532,9051
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0380023,Returning,EPO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,25908,1985073,29848,395850,1181,39328,24960,27514,34438,27601,3522,77804,39569,715,71155,170068,29308,3254
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0380047,Returning,EPO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,52657,2277038,58299,484867,2240,45149,24406,55710,40294,30965,3647,65566,42992,906,84365,231829,57614,7492
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0380048,Returning,EPO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,4478,226285,4931,48767,161,5056,3898,4698,4291,3951,409,8244,5037,107,9625,19304,3795,533
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0380050,Returning,EPO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,2881,147342,3097,29513,188,3311,2473,3135,2554,2508,341,5565,1903,83,6137,12668,2546,403
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0380051,New,EPO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0390001,Returning,EPO,QHP,Catastrophic,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,1723,37956,1858,10545,92,985,439,1837,785,667,110,971,3293,11,1656,3173,1395,339
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0670001,Returning,EPO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,114,6695,117,966,**,105,83,119,85,75,**,232,88,**,213,304,152,20
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0670002,Returning,EPO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,1315,66208,2016,13034,77,1460,912,1407,1263,947,121,2836,890,21,2387,5542,1486,222
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0670003,Returning,EPO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,1090,32506,1557,7207,48,761,432,1153,740,532,74,1032,559,17,1330,3193,964,164
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0690001,Returning,EPO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,708,22523,721,4675,29,530,440,749,401,548,69,717,273,26,1075,1771,410,45
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0690002,Returning,EPO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,3632,200168,4084,41546,206,4790,3776,3906,3785,3197,615,9040,2532,67,8300,17550,2570,383
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0690003,Returning,EPO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,1688,60903,979,10781,104,1301,945,3459,1153,928,130,1813,1342,25,2425,1938,1800,284
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700001,New,HMO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700002,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700003,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700004,New,HMO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700005,New,HMO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700006,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700007,New,HMO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700009,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0700010,New,HMO,QHP,Bronze,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710001,New,HMO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710002,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710003,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710004,New,HMO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710005,New,HMO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710006,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710007,New,HMO,QHP,Bronze Expanded,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710009,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0710010,New,HMO,QHP,Bronze,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0720001,New,HMO,QHP,Gold,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0720002,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,Blue Cross and Blue Shield of South Carolina,26065,No,No,26065SC0720003,New,HMO,QHP,Silver,https://www.southcarolinablues.com/links/transparency,282455,11459827,276191,2183048,9625,221320,3022,1231,40.7,302,107,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
