Individual Marketplace Medical Qualified Health Plans (QHPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend 
*                              Data not available for this issuer/plan
Individual,SPE,MI,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560,No,No,15560MI0730001,Returning,EPO,SADP,Low,https://www.bcbsm.com/what-to-know-about-aca-plans/index/,265331,1423397,58308,207020,4521,102170,175,69,39.4,289,53,18.3,15392,46948,87,110,19,122,**,**,57,**,**,**,**,145,122,7174,1247
Individual,SPE,MI,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560,No,No,15560MI0740001,Returning,PPO,SADP,Low,https://www.bcbsm.com/what-to-know-about-aca-plans/index/,265331,1423397,58308,207020,4521,102170,175,69,39.4,289,53,18.3,8609,7559,43,63,11,197,**,**,65,**,**,**,**,24,**,22,**
Individual,SPE,MI,"Dominion Dental Services, Inc.",15676,Yes,Yes,15676MI0020001,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Dominion Dental Services, Inc.",15676,Yes,Yes,15676MI0020002,New,PPO,SADP,High,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Dominion Dental Services, Inc.",15676,Yes,Yes,15676MI0020003,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Dominion Dental Services, Inc.",15676,Yes,Yes,15676MI0020004,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Dominion Dental Services, Inc.",15676,Yes,Yes,15676MI0020005,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Dominion Dental Services, Inc.",15676,Yes,Yes,15676MI0020006,New,PPO,SADP,High,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,Guardian Life Insurance Company of America,15833,No,Yes,15833FL0120006,New,HMO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/31db852d1accdce209dcac5391c08596/Transparency_in_Coverage_2024_07252024.pdf,13601,128000,11450,76438,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,Guardian Life Insurance Company of America,15833,No,Yes,15833FL0130004,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/31db852d1accdce209dcac5391c08596/Transparency_in_Coverage_2024_07252024.pdf,13601,128000,11450,76438,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,Guardian Life Insurance Company of America,15833,No,Yes,15833FL0140004,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/31db852d1accdce209dcac5391c08596/Transparency_in_Coverage_2024_07252024.pdf,13601,128000,11450,76438,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,Guardian Life Insurance Company of America,15833,No,Yes,15833FL0150004,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/31db852d1accdce209dcac5391c08596/Transparency_in_Coverage_2024_07252024.pdf,13601,128000,11450,76438,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,Guardian Life Insurance Company of America,15833,No,Yes,15833FL0160004,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/b56aee5e05352bc966541cd5709492e3/Transparency_in_Coverage_2024.pdf,13601,128000,11450,76438,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,Humana Insurance Company,15980,No,Yes,15980FL0160003,Returning,PPO,SADP,Low,https://www.humana.com/member/plain-language-policy,5551,49044,1984,15798,120,602,14,**,**,**,**,**,1806,15240,601,4397,37,209,**,905,3935,55,37,1248,**,**,931,3363,641
Individual,FFE,FL,Humana Insurance Company,15980,No,Yes,15980FL0160004,Returning,PPO,SADP,High,https://www.humana.com/member/plain-language-policy,5551,49044,1984,15798,120,602,14,**,**,**,**,**,2757,24405,1016,7278,61,252,**,1812,5723,185,254,2114,**,**,2227,4472,934
Individual,FFE,FL,Humana Insurance Company,15980,No,Yes,15980FL0160005,Returning,PPO,SADP,Low,https://www.humana.com/member/plain-language-policy,5551,49044,1984,15798,120,602,14,**,**,**,**,**,988,9399,367,4123,22,141,**,859,3943,26,**,1081,**,**,538,2362,756
Individual,FFE,IN,"Dominion Dental Services, Inc.",16845,Yes,Yes,16845IN0010001,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,IN,"Dominion Dental Services, Inc.",16845,Yes,Yes,16845IN0010002,New,PPO,SADP,High,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,IN,"Dominion Dental Services, Inc.",16845,Yes,Yes,16845IN0010003,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,IN,"Dominion Dental Services, Inc.",16845,Yes,Yes,16845IN0010004,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,IN,"Dominion Dental Services, Inc.",16845,Yes,Yes,16845IN0010005,New,PPO,SADP,Low,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,IN,"Dominion Dental Services, Inc.",16845,Yes,Yes,16845IN0010006,New,PPO,SADP,High,https://www.dominionnational.com/wps/wcm/connect/prodnws.dominionnational.com-30097/a166049e-f578-4b90-8fda-60f3bf81a047/PY2025+Transparency+in+Coverage+Policy.pdf?MOD=AJPERES&CVID=o.a6Vwe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,BEST Life and Health Insurance Company,17121,No,Yes,17121FL0020003,Returning,PPO,SADP,High,https://www.bestlife.com/fl/index.html,68,169,20,70,**,13,**,**,**,**,**,**,49,121,14,51,**,11,**,**,35,**,**,21,**,**,11,888,206
Individual,FFE,FL,BEST Life and Health Insurance Company,17121,No,Yes,17121FL0020006,Returning,PPO,SADP,Low,https://www.bestlife.com/fl/index.html,68,169,20,70,**,13,**,**,**,**,**,**,13,19,**,**,**,**,**,**,**,**,**,**,**,**,**,169,30
